programId_sv|programUniversity_sv|programTitle_sv|programDescription_sv|programPoints_sv|programYears_sv|programRequirements_sv|programAiDescription_sv|programPlace_sv|programDegree_sv|programLink
11|Kungliga Tekniska högskolan|Elektroteknik, civilingenjör|"KTH är rankat som ett av världens 25 bästa universitet inom ämnesområdet elektroteknik. Elektroteknik har en avgörande betydelse för många teknologier och framtidens hållbara samhälle. Det är bland annat en förutsättning för autonoma system och en övergång till förnybara energikällor. Med den verktygslåda du får med dig från civilingenjörsutbildningen inom Elektroteknik på KTH kan du gå in som expert nästan var som helst där det handlar om att utveckla hållbar teknik. Elektroteknik bygger på elektricitet och magnetism och innefattar så gott som all den teknik som använder elektricitet. Utvecklingen inom området ligger till grund för mycket av den nya teknik vi ser i samhället i dag, som exempelvis mobiltelefoner, robotar och solceller. Dagens samhälle är väldigt beroende av elektroteknik som finns i allt från våra trafiksystem till våra sjukhus. Också framtidens hållbara samhälle bygger på att vi lyckas utveckla hållbara lösningar inom elektroteknik. Exempelvis behövs elektroteknik för klimatsmarta transporter, förnybar energi, e-hälsa och att hantera den ständigt ökande datatrafiken. Utbildningen gör dig till en teknisk problemlösare med förmåga att utveckla allt från medicinsk utrustning till industrirobotar. Du lär dig att sätta upp modeller av verkligheten med hjälp av matematik, elektroteknik och fysik. Utifrån din modell tar du sedan fram en lösning som driver utvecklingen framåt. Efter de tre inledande åren har du en bra teknisk bas och kan välja bland många av de olika masterprogram som ﬁnns på KTH. Du kan även läsa delar av utbildningen utomlands. Efter examen har du spännande karriärmöjligheter över hela världen. En utbildning inom elektroteknik eller ”Electrical engineering"" (som det heter på engelska) är väldigt populär utomlands och är ett av de mest kända ingenjörsprogrammen internationellt. Att utbilda sig till elektroingenjör har under många år varit en säker framtidsinvestering som öppnar många dörrar och valmöjligheter. Elektroingenjörer får också högst genomsnittslön bland civilingenjörer, när de tagit sin examen, enligt SCB. I åldrarna 25-34 ligger den genomsnittliga månadslönen runt 40 000 kronor.  Ditt jobb efter examen kan handla om att utveckla tekniken inom områden som elnätet, framtidens fordon, artificiell intelligens och smarta hem. Du kan jobba i yrkesroller som exempelvis konsult, utvecklingsingenjör eller projektledare. Du har också stora möjligheter att välja en forskarkarriär. Bland tidigare studenter på programmet har alla fått jobb, och de flesta får sitt drömjobb tidigt efter examen. Mer än hälften jobbar inom teknikintensiv industri och många med forskning och utveckling."|300|5|||På universitetet, KTH Campus|Civilingenjör, kandidat, master|https://www.kth.se/utbildning/civilingenjor/elektroteknik
12|Kungliga Tekniska högskolan|Energi och miljö, civilingenjör|Civilingenjörsutbildningen inom Energi och miljö har ett stort fokus på hållbar utveckling utifrån både tekniska och samhälleliga perspektiv. Du blir expert på att ta fram innovativa lösningar för stora hållbarhetsutmaningar som minskad klimatpåverkan, bättre energisystem och renare vatten. Efter examen är du attraktiv på arbetsmarknaden och kan arbeta med utvecklingsarbete såväl i Sverige som i resten av världen. Frågor om energi och miljö är mer aktuella än någonsin och blir allt mer viktiga. För att vi ska kunna leva inom planetens gränser krävs att vi begränsar användningen av fossilbaserad energi och istället ökar användningen av förnybar energi. Vi måste minska vår påverkan på klimatet och miljön och använda färre naturresurser för att möta fler människors behov. Många av framtidens samhällsutmaningar har stark koppling till områdena energi och miljö. Exempelvis: Hur kan vi minska effekterna av ett klimat i förändring? Hur säkerställer vi biologisk mångfald och vad krävs för att vi ska kunna leva i samklang med naturens ekosystem och samtidigt ha god tillgång till energi? Utbildningen lär dig att hitta innovativa lösningar inom energi- och miljöområdet. Du får civilingenjörens grundläggande naturvetenskapliga och tekniska kunskaper, med en bas inom energi- och miljöområdet och tränar dig i problemlösning och modellering i flera av utbildningens kurser. Du lär dig även ett samhällsvetenskapligt perspektiv på energi- och miljöfrågor och fördjupar dig inom området hållbar utveckling i flera olika projekt. Under år fyra och fem lär du dig en spetskompetens inom den masterutbildning du väljer. Programmet ger goda möjligheter till utlandsstudier. Efter examen kan du jobba med exempelvis riskhantering, miljöanalys, smarta elnät, förnybar energi, elfordon, miljövänliga fordonsbränslen eller återvinning av material. Du blir en viktig resurs när det gäller att hitta innovativa lösningar kring klimatförändringar och hållbarhetsfrågor som samhället står inför. Exempelvis behövs din kompetens för att säkerställa en cirkulär ekonomi där vi nyttjar våra naturresurser på bästa sätt – utan att släppa ut farliga gifter i naturen. Studenter som examinerats från programmet arbetar idag bland annat som projektledare för samhällskritisk infrastruktur, energi- och miljörådgivare på kommuner, som konsulter inom byggbranschen och som projektingenjörer på statliga myndigheter.  Sverige satsar stort på teknik för förnybar energi och internationellt investeras miljarder kronor i företag som arbetar med miljöteknik. Fler och fler inser vikten av området och detta innebär många nya och internationella karriärmöjligheter för civilingenjörer inom Energi och miljö.|300|5|||På universitetet, KTH Campus|Civilingenjör, kandidat, master|https://www.kth.se/utbildning/civilingenjor/energimiljo
13|Kungliga Tekniska högskolan|Farkostteknik, civilingenjör|Civilingenjörsutbildningen inom Farkostteknik är unik i Sverige och finns bara på KTH. Utbildningen är bred och ger karriärmöjligheter inom många områden, t ex inom utveckling och forskning om tåg, bilar, flyg, fartyg och rymdfarkoster. Den gör dig redo att anta utmaningar för framtidens transportsystem; resurseffektiva fordon och farkoster för väg, vatten och rymd samt flexibla lösningar för kollektivtrafik och varutransporter. En av de största utmaningarna för vårt samhälle är att transportera människor och varor utan för stor påverkan på miljö och klimat. Kunskap inom farkostteknik behövs för att utveckla den typ av lösningar och de transportsystem som behövs i framtidens hållbara samhälle. Självkörande bilar, uppkopplade godstransporter, snabbtåg och fossilfritt flyg är bara några av de områden där revolutionerande utveckling sker. Kunskap inom farkostteknik är också viktigt i utvecklingen av farkoster som möjliggör vårt utforskande av rymden. Farkostteknik utvecklar din förmåga att analysera stora system och att ta fram nya innovativa lösningar, ofta med hjälp av datorberäkningar. Utbildningen ger dig ett innovativt tänkande och en bred kunskap i matematik, natur- och teknikvetenskap. Den har samtidigt fokus på att teknikkunskaperna tillämpas för att utveckla, konstruera och bygga farkoster och system som löser framtidens transportbehov. Du läser kurser i matematik, fysik och mekanik i kombination med kurser som produktutveckling, och ljud och vibrationer. Du lär dig också om hur etik, hållbar utveckling, jämställdhet och mångfald är kopplat till teknikutveckling och den moderna ingenjörsrollen. Efter år tre har du möjlighet att välja bland ett av KTH:s största utbud av masterprogram samt läsa delar av utbildningen utomlands. Som civilingenjör i Farkostteknik är du eftertraktad inom många olika branscher.  Fordonsbranschen är en av flera som har behov av din kompetens. Du har stora möjligheter att direkt efter examen få ett jobb i Sverige eller någon annanstans i världen, tack vare KTH:s goda rykte internationellt och den nära samverkan mellan näringsliv, forskning och undervisning inom programmet.  Med de kunskaper du får med dig kan du arbeta inom en mängd olika områden. Forskning och utveckling av morgondagens fordon, farkoster och system med koppling till väg, mark, vatten och rymd är ett område där du kan få stort inflytande. Du kan arbeta som beräkningsingenjör, analytiker, forskare eller teknisk konsult. I samarbete med andra experter kommer du kunna leda utvecklingen mot ett hållbart samhällsbyggande, energisnåla transportsystem och klimatsmarta tekniska innovationer.|300|5|||På universitetet, KTH Campus|Civilingenjör, kandidat, master|https://www.kth.se/utbildning/civilingenjor/farkostteknik
14|Kungliga Tekniska högskolan|Fastighet och finans, kandidatutbildning|Kandidatutbildningen inom Fastighet och finans på KTH passar dig som vill vara delaktig i fastighetsbranschens spännande utveckling med ny teknik och ökad miljömedvetenhet. Efter examen kan du jobba med kvalificerade uppgifter inom såväl fastighetssektorn som den finansiella sektorn. Då sektorerna integreras alltmer ligger utbildningen helt rätt i tiden. Fastighetsbranschen är under utveckling med ökad digitalisering och omställning till miljövänliga material och system. Sverige har haft en hög byggtakt under den senaste tiden och fastigheter utgör landets största förmögenhetstillgång. Hur påverkar fastighetsmarknaden den finansiella marknaden och vice versa? Vad händer när fastighetspriserna går upp och hur påverkar den cykliska ekonomiska utvecklingen byggandet av nya bostäder? Det är frågor som påverkar inte bara samhället utan de flesta människors vardag. Med kunskaper om hur områdena fastigheter och finans samverkar har du verktyg för att kunna ta finansiella beslut som påverkar utvecklingen av morgondagens byggnader och samhälle. Utbildningen ger dig kunskap inom ekonomi, juridik och management med fokus på den finansiella sektorns roll i ett hållbart samhällsbyggande. Du lär dig om rättssystemet som legal infrastruktur för den ﬁnansiella sektorn och fastighetsmarknaden. Du får kunskap om kundperspektivets betydelse för såväl bank- som fastighetssektorerna. Efter fem obligatoriska terminer väljer du att fördjupa dig inom antingen Fastighetsekonomi eller Finans. Utbildningens breda och unika inriktning gör att du har stora valmöjligheter i ditt framtida yrkesliv. Du får en bra start på karriären med goda möjligheter till jobb inom många sektorer, exempelvis inom fastighetsekonomi eller den ﬁnansiella sektorn.  Du kan välja en karriär inom finansiering av fastigheter, portföljförvaltning eller transaktioner. Dina framtida arbetsgivare kan vara banker, försäkringsbolag, bostadsﬁnansieringsinstitut och fastighetsbolag. Programmet öppnar också för att arbeta i byggbolag, kommuner och olika konsultföretag inom fastighetssektorn. Du som vill bygga ett eget företag får också en bra start.|180|3|||På universitetet, KTH Campus|Teknologie kandidat|https://www.kth.se/utbildning/kandidatutbildning/fastighet-finans
15|Kungliga Tekniska högskolan|Fastighetsutveckling med fastighetsförmedling, kandidatutbildning|Kandidatutbildningen inom Fastighetsutveckling med fastighetsförmedling på KTH är skräddarsydd för dig som vill jobba som mäklare eller utvecklare av fastigheter. Den stimulerar ditt samhällsintresse och lär dig att förverkliga idéer kopplat till fysiska platser. Oavsett val av inriktning får du goda karriärmöjligheter inom den spännande fastighetsbranschen. Efter examen har du möjlighet att registreras som fastighetsmäklare. Hur bor vi i framtiden och hur ser det ut där vi arbetar? Hur påverkas fastighetsbranschen av en växande befolkning, ny teknik för digitalisering och ökade krav på hållbarhet? Fastighetssektorn har många spännande utmaningar i att utveckla framtidens hållbara boenden och kontor. Fastighetsutveckling handlar om att identifiera och förverkliga potentialen i olika fastighetsobjekt eller områden. Fastighetsförmedling handlar om att hitta köpare samt att bistå i transaktioner för hela fastigheter, bostadsrätter, kontor och mark. Med en alltjämt ökad efterfrågan på bostäder är kunskap inom området viktig för att kunna tillgodose både människors, företags och samhällets behov. Utbildningen ger dig specialkompetens inom fastighetsjuridik och fastighetsekonomi. Du får även kunskaper i byggnadsteknik, management och geovetenskap. Du lär dig om hur detaljplaner, ägande, rättigheter och politiska beslut hänger ihop på fastighets- och samhällsbyggnadsområdet. Under det andra året väljer du en inriktning mot antingen Fastighetsutveckling eller Fastighetsförmedling.  Fastighetsförmedlingsspåret utvecklas i kontinuerligt samråd med Fastighetsmäklarinspektionen (FMI) som är den statliga myndighet som ansvarar för registrering och tillsyn av fastighetsmäklare. I FMI:s uppdrag ingår också att informera mäklare och konsumenter om god fastighetsmäklarsed. Genom olika kurser i juridik och etik lägger programmet grund för certifieringen. Utbildningen öppnar för att du snabbt ska komma ut på arbetsmarknaden och ger dig en bra start i arbetslivet. Fastighetsutveckling och fastighetsförmedling är kreativa områden där samarbete mellan människor är en stor del av vardagen. Efter examen har du djupa kunskaper om fastighetssektorns roll i byggandet av ett hållbart samhälle, vilket gör att du kan du jobba i olika roller hos byggbolag, fastighetsbolag, kommuner, såväl som hos fastighetsförmedlare och olika konsultföretag.   För dig som väljer inriktningen mot fastighetsutveckling väntar spännande utmaningar i att möta både människors, företags och samhällets behov för att bygga hållbara städer. För dig som väljer inriktningen fastighetsförmedling väntar en marknad i förändring där mäklaryrket är mer mångfacetterat än tidigare. Att kunna identifiera och förverkliga kunders bostadsdrömmar är en viktig kompetens, tillsammans med relationsbyggande.|180|3|||På universitetet, KTH Campus|Teknologie kandidat|https://www.kth.se/utbildning/kandidatutbildning/fastighetsutveckling-fastighetsformedling
16|Kungliga Tekniska högskolan|Industriell ekonomi, civilingenjör|Civilingenjörsutbildningen Industriell ekonomi är en ingenjörsutbildning inom teknik och management som ger en eftertraktad kompetens i affärs- och verksamhetsutveckling. Den tekniska kunskap du får med dig ger dig en spets i att förstå utveckling av hållbara innovationer. Efter examen är du väl rustad för en karriär i näringsliv och offentlig förvaltning. Förståelse för hur teknik och ekonomi samverkar är centralt för att utveckla samhället i en hållbar riktning. Nya affärsidéer, produkter och tekniska lösningar har potential att driva utvecklingen framåt, men det behövs också förutsättningar för kreativitet, utveckling och långsiktig effektivitet. Förståelse för hur teknikutvecklingen kan ligga till grund för framgångsrika affärer är en nyckel i innovationsprocessen. För att lyckas med detta är en ingenjörsutbildning i industriell ekonomi ett exceptionellt redskap. Industriell ekonomi ger dig förståelse för samspelet mellan teknik, människa och marknad. Du läser kurser inom industriell ekonomi och teknik parallellt och får därigenom djup förståelse för kommunikation och samarbeten över områdesgränserna. Under årskurs två väljer du teknikinriktning inom något av områdena:      datateknik,     energisystem och hållbar utveckling,     produkt- och produktionsutveckling eller     tillämpad matematik.  Studierna på avancerad nivå, i årskurs fyra och fem, sker inom ramen för masterprogrammet Industrial Engineering and Management (Industriell ekonomi). Då specialiserar du dig ytterligare inom din teknikinriktning. Du har stor möjlighet att använda de valfria poängen till att proﬁlera dig ytterligare inom de områden som intresserar dig. Som civilingenjör inom Industriell ekonomi har du många intressanta karriärmöjligheter. Utbildningen förbereder dig på att jobba med affärs- och verksamhetsutveckling inom teknikområdet med ett helhetsperspektiv på hur företag fungerar. Förmågan att förstå kopplingen mellan teknik, omvärld och strategi gör att du kan jobba med att bedöma ekonomiska, sociala och miljömässiga konsekvenser av nya tekniska lösningar. Det är vanligt att arbeta med att leda projekt eller effektivisera produktionen i teknikintensiva verksamheter.  Typiska roller för en civilingenjör från Industriell ekonomi är projektledare, affärs- och produktutvecklare, analytiker eller entreprenör. Sverige är världsledande på innovationsområdet och har många spännande företag du kan jobba för. Utbildningen gör dig mycket attraktiv på arbetsmarknaden och ger dig stora möjligheter att arbeta internationellt. Om du vill starta ett eget företag har du bra förutsättningar även för det.|300|5|||På universitetet, KTH Campus|Civilingenjör, kandidat, master|https://www.kth.se/utbildning/civilingenjor/industriell-ekonomi
17|Kungliga Tekniska högskolan|Industriell teknik, högskoleingenjör|Högskoleingenjörsprogrammet inom Industriell teknik på KTH ger dig det som krävs för att arbeta som ingenjör inom morgondagens alltmer digitaliserade och hållbara produktionsmiljö, ibland kallad industri 5.0. Utbildningen sker i samarbete med ledande företag och kombinerar lika delar teori och praktik. Inom programmet kan du välja mellan fyra olika profiler. Produktionsindustrin har blivit alltmer digitaliserad och Artificiell intelligens (AI), Big Data och uppkoppling mot internet (Internet of Things) spelar en allt större roll. När du läser högskoleingenjörsutbildningen inom Industriell teknik kan du bli en del av denna spännande omställning. Det finns ett stort behov av ingenjörer som kan driva utvecklingen till en både mer hållbar och modern industri. Programmet ger dig kunskapen som krävs för att jobba inom modern industriell produktion för att skapa framtida produkter, processer och tjänster. Du lär dig bland annat om hållbara materialval, hur man använder energisystem på ett klokt sätt och vilka etiska, ekonomiska och hållbarhetsmässiga aspekter som ingår i arbetet med industriell produktion. Under utbildningen kommer du att lära dig olika metoder och verktyg som programmering, matematik, mekanik och robotteknik men även projektledning och riskhantering, för att hantera utmaningar inom industrin.  Programmet har en perfekt balans mellan teori och praktik och bygger på ett nära samarbete med Sveriges stora industriföretag. Utbildningen är även flexibel, du börjar med att lära dig grunderna för att sedan välja en av fyra profiler utifrån dina intressen.  Utbildningen avslutas med ett examensarbete som kan genomföras i samverkan med industrin.  De fyra profiler du kan välja mellan är:      Hållbar produktion     Industriell driftsäkerhet     Klimatsmart energiförsörjning     Material för cirkulära flöden. Högskoleingenjörer inom industriell teknik är eftertraktade på arbetsmarknaden och utbildningen ger dig goda möjligheter till jobb direkt efter examen. Eftersom en stor del av undervisningen sker i samarbete med flera av Sveriges stora företag kan du knyta kontakter redan under studietiden.   Efter utbildningen kommer du vara med och utveckla och driva hållbar produktion. Du kan arbeta med materialval, tillverkning, driftsäkerhet och tillförlitlighet samt energioptimering. Du har också goda karriärmöjligheter både i Sverige och utomlands. Några av yrkesrollerna som du kan få direkt efter utbildningen är processingenjör, produktionsingenjör, eller verksamhetsutvecklare. Under din karriär kommer du även kunna utvecklas och så småningom kunna jobba som bland annat projektledare inom industrin.|180|3|||På universitetet, KTH Campus, viss andel företagsbaserad undervisning|Högskoleingenjör|https://www.kth.se/utbildning/hogskoleingenjor/industriell-teknik
18|Kungliga Tekniska högskolan|Industriell teknik och hållbarhet, civilingenjör|Civilingenjörsutbildningen Industriell teknik och hållbarhet gör dig till expert på hållbar produktion i industriell tillverkning. Den passar dig som vill arbeta för att teknik och människor i kombination ska kunna lösa de utmaningar näringsliv och industrin står inför. Redan under studietiden kan du dra nytta av att världsledande företag samverkar i utbildningen. Hållbarhet handlar om mer än bara miljö och klimat. För att få ihop materiellt välstånd med en välmående planet krävs en hållbar industriell tillverkning av de produkter vi behöver. Här finns många utmaningar som kan lösas av civilingenjörer i industriell teknik och hållbarhet. Framtidens teknik, exempelvis det som följer med begreppet Industri 4.0. kommer innebära möjligheter till effektivare produktion men också nya utmaningar när det gäller arbetsinnehåll och kompetens. Industriell teknik och hållbarhet är en ny civilingenjörsutbildning skapad för att utveckla ingenjörer med helhetsförståelse för hållbara produktionssystem: människor och teknik i produktionsflöden och processer. Till skillnad från andra ingenjörsutbildningar har denna ett tydligt fokus inom tillverkande industri och produktionssystem – vilket inkluderar produktionsteknik, logistik, underhåll, arbetsorganisation och systemutveckling. Du lär dig att förstå, analysera och utveckla komplexa system. I teknikkurserna integreras flera hållbarhetsaspekter. Efter år tre har du möjlighet att välja mellan olika masterprogram samt läsa delar av utbildningen utomlands. Efter examen kan du bidra till att lösa industrins största utmaning – att skapa hållbara lösningar för ökad konkurrenskraft, minskad miljöpåverkan och meningsfulla arbeten i en högteknologisk kontext. Du kan jobba med att skapa framtidens fabriker inom vilken produktion som helst – exempelvis läkemedel, livsmedel, fordon, kläder, batterier. Du kan arbeta i roller som produktionstekniker inom produktion och underhåll eller som produktionsplanerare inom logistik. Du har även möjlighet att ta det övergripande ansvaret över en hel produktion.  Som civilingenjör i industriell teknik och hållbarhet kommer du kunna spela en viktig roll i den snabba utvecklingen som rör de ﬂesta branscher. Du kan utveckla produktionssystem för helt nya produkter eller förbättra existerande fabriker. I tillverkande industri finns ett stort behov av personer med helhetssyn över de olika produktionsdelarna och som vet hur de hänger ihop och samverkar – redan nu och i framtiden, inte minst med avseende på hållbarhet. Det ger dig goda möjligheter till ett omväxlande arbetsliv, såväl i Sverige som internationellt.​​​​​​​|300|5|||På universitetet, KTH Campus|Civilingenjör, kandidat, master|https://www.kth.se/utbildning/civilingenjor/industriell-teknik-hallbarhet
19|Kungliga Tekniska högskolan|Informations- och kommunikationsteknik (ICT Bachelor), kandidatutbildning|Kandidatutbildningen inom Informations- och kommunikationsteknik (ICT) på KTH motsvarar en internationell Bachelor. Undervisningen sker på engelska, studiekamraterna kommer från olika länder och internationella IT-företag är campusgrannar. Som student på utbildningen befinner du dig mitt i utvecklingen av fenomen som artificiell intelligens, 5G och 6G, maskininlärning, robotik och kommunicerande system. ICT ligger till grund för digitalisering av samhället och påverkar alla människors liv, de flesta branscher, industrier, myndigheter och frivilligorganisationer. Nya IT-system och tjänster utvecklas hela tiden och människor och produkter blir alltmer uppkopplade. Samtidigt som tekniken kan förbättra vår livskvalitet och bidra till minskade utsläpp från tunga industrier kräver utvecklingen en ständigt förbättrad säkerhet. ICT-experter behövs för att förbättra skydd mot industrispionage, falska nyheter och cyberkrigföring eller för att utveckla AI, e-hälsa och miljövänligare transporter. Utbildningen ger dig en kombination av kunskap om elektronik, mjukvara, datavetenskap och kommunikationsteknologi. I programmet integreras teknologi med ekonomi, ledarskap och hållbar utveckling – vilket ger dig ett brett perspektiv på teknikutvecklingen. Programmet har en stor andel valbara kurser som ger dig möjlighet att skräddarsy din utbildning. Efter examen väntar kreativa arbetsuppgifter på en arbetsmarknad som finns både i Sverige och internationellt. Utbildningen öppnar möjligheter i globala och regionala IT-företag, konsultföretag, på de flesta företags IT-avdelningar och på internationella institutioner. Också inom fordonsindustrin och medicinsk teknik finns ett stort behov av ICT-kompetens.  Du kan utvecklas till mjukvaruingenjör, konsult, systemspecialist och mycket annat. Kanske får du en idé under utbildningen och satsar på att bli entreprenör, eller söker dig till de många startup-företagen inom området. Trots att allt fler utbildar sig inom ICT runt om i världen bedöms behovet av ICT-kompetens vara stort under lång tid framöver. Utsikter att hitta spännande uppgifter och yrken är mycket goda.|180|3|||På universitetet, KTH Campus, KTH Kista|Teknologie kandidat|https://www.kth.se/utbildning/kandidatutbildning/informations-och-kommunikationsteknik
20|Kungliga Tekniska högskolan|Informationsteknik, civilingenjör|Civilingenjörsutbildningen inom Informationsteknik på KTH ger dig möjlighet att jobba med framtidens utmaningar inom såväl internationella företag som startupföretag. Här lär du dig att arbeta i team med andra för att utveckla informationsteknik som hjälper människor inom allt från skapandet av klimatsmarta lösningar till system som styr moderna fordon och utveckling av bättre medicinsk teknik. Informationsteknik handlar inte bara om internet och sociala medier. Den digitala tekniken är avgörande för att samhället ska fungera och möjliggör allt från internationell e-handel till trådlösa hem. Mycket händer nu vad gäller artificiell intelligens och maskininlärning – områden med potential att förändra samhället i grunden. Med specialistkompetens inom informationsteknik har du kunskap om tekniken bakom datorerna och möjlighet att vara med och driva utvecklingen i en positiv riktning. Utbildningen ger dig en bred kompetens inom informationsteknik med kunskap inom elektronik, datorer, nätverk, inbyggda system och programvara. Muntlig och skriftlig kommunikation, ekonomi, samarbete, ledarskap och hållbar utveckling är viktiga inslag i utbildningen. I projekt tillsammans med företag och samhälle arbetar du praktiskt med frågor kring informationsteknik och hållbar utveckling. Ett antal valfria kurser ger dig flexibilitet och möjlighet att själv utforma din utbildning inom området. Efter år tre har du möjlighet att välja ett masterprogram samt läsa delar av utbildningen utomlands. Utbildningens bredd gör att du kan välja masterprogram inom många ämnesområden. Utbildningen ger dig gedigna kunskaper inom informationsteknik som är en av de hetaste kompetenserna på arbetsmarknaden idag. Efter examen har du tillgång till en bred arbetsmarknad både i Sverige och internationellt. Du kommer kunna jobba med att utveckla produkter och tjänster som har central betydelse för hållbara städer och samhällen, infrastruktur och resurseffektiv produktion.   Studenter från programmet jobbar i både stora och mindre företag inom områden som spel och nöje, ﬁnans, fordon, traditionell informationsteknik och offentlig verksamhet. Det är vanligt att efter några år i arbetslivet gå vidare till olika typer av chefsroller. Med en civilingenjörsexamen inom informationsteknik har du också möjlighet att göra en akademisk karriär inom forskning på KTH eller något annat universitet, i Sverige eller utomlands.|300|5|||På universitetet, KTH Campus, KTH Kista|Civilingenjör, kandidat, master|https://www.kth.se/utbildning/civilingenjor/informationsteknik
21|Kungliga Tekniska högskolan|Kemiteknik, högskoleingenjör|Högskoleingenjörsprogrammet inom Kemiteknik på KTH ger dig en bred grund inom kemi, kemiteknik och miljöskydd. Du arbetar ofta i projektform med verkliga frågeställningar från näringslivet. Efter examen har du många branscher att välja mellan och kan jobba med allt från läkemedel, livsmedel och färg till vatten- och energifrågor. Många arbetsuppgifter har stark koppling till miljö- och hållbarhetsområden. Hållbar utveckling är nu mer aktuellt än någonsin. I de stora omvärldsfrågorna kring livsmedelsförsörjning, rent vatten, sjukdomsbekämpning, energiförsörjning och klimat är kunskaper inom kemi och kemiteknik viktiga. På forskningsfronten händer mycket inom dessa områden och här ligger KTH i framkant. Kemiingenjörer har en viktig roll såväl på företag och organisationer som inom akademin för att lösa framtidens utmaningar. Utbildningens fokus ligger på kemi, kemiteknik och miljöskydd. De valbara kurserna ger dig möjlighet att skapa en egen proﬁl. Du kan inrikta dig mot miljö, energi, bioteknik eller moderna material och även bredda dig genom kurser i språk, ekonomi, juridik och ﬁlosoﬁ. I projektarbeten med verkliga frågeställningar från näringslivet blir du duktig på att driva projekt och lära dig att självständigt hitta och använda den information du behöver. Som högskoleingenjör inom kemiteknik kan du jobba med allt från forskning i laboratoriemiljö till storskalig industriell tillverkning. Läkemedel, livsmedel, papper och färg är några av de branscher där du har goda karriärmöjligheter. Även vatten- och energiverk, myndigheter och konsultbolag behöver kemiingenjörer. Det finns goda möjligheter att hitta jobb inom det fält som intresserar just dig.  Efter examen kan du arbeta på laboratorium, med produktion, kvalitetsfrågor, försäljning eller projektledning. Du har möjlighet att göra karriär som exempelvis produktspecialist, processingenjör, miljökonsult, projektledare eller kvalitets- och miljöchef. Då studenterna på programmet blir duktiga på att planera och leda projekt har de ofta en fördel på arbetsmarknaden.|180|3|||På universitetet, KTH Campus|Högskoleingenjör|https://www.kth.se/utbildning/hogskoleingenjor/kemiteknik
22|Kungliga Tekniska högskolan|Maskinteknik, civilingenjör|Civilingenjörsutbildningen inom Maskinteknik på KTH är en av Sveriges bredaste utbildningar inom maskinteknik. Du lär dig utveckla tekniska lösningar inom allt från robotar till miljöteknik. Det är ett av de civilingenjörsprogram som har flest valmöjligheter, vilket gör att du kan skräddarsy din utbildning efter intresse. Du har även möjlighet att välja en internationell inriktning inom franska, tyska eller spanska. För att klara samhällets hållbarhetsutmaningar måste industrin kunna tillverka de produkter vi behöver på hållbara sätt. Maskinteknik är en viktig del i den spännande omställningen. Kunskap om maskinteknik behövs exempelvis för att kunna medverka till en omställning mot en mer digitaliserad och automatiserad verkstadsindustri, ställa om till förnybara energikällor och skapa en mer resurseffektiv tillverkning. Lösningar för en mer hållbar produktion inkluderar automatisering av industriprocesser och uppkoppling av maskiner mot internet. Det ställer nya krav på tekniken som du som civilingenjör i maskinteknik kan vara med och utveckla. Utbildningen ger dig en stabil grund i maskinteknik med stora möjligheter att välja mellan olika teknikspår. Du blir en ingenjör med teknisk vetenskaplig kompetens inom ett flertal teknikområden som produktutveckling, produktions- och tillverkningsteknik och energifrågor.  Det tredje året får du möjlighet att fördjupa dig inom valda områden av maskintekniken genom att välja villkorligt valfria kurser. Efter år tre väljer du en av ett stort antal masterutbildning och har möjlighet att läsa delar av utbildningen utomlands. Varje valbart masterprogram har en profil så att dina kunskaper från utbildningens tre första år fördjupas inom ett specifikt område. Efter examen kan du skapa innovation för ett hållbart samhälle i Sverige och internationellt. Tack vare utbildningens bredd, goda rykte och nära samarbete med industrin finns mycket stora karriärmöjligheter. Du kommer att kunna jobba i en global industri med projekt inom energiförsörjning, infrastruktur, hälso- och sjukvård, affärsutveckling, forskning och miljöteknik – med många inriktningar och stor valfrihet. Du kan arbeta i stora eller små företag i roller som exempelvis teknisk expert, produktutvecklare eller forskare.|300|5|||På universitetet, KTH Campus|Civilingenjör, kandidat, master|https://www.kth.se/utbildning/civilingenjor/maskinteknik
